dataset,classifier,partition_ratio,trial,train_acc,val_acc,test_acc,best_params,time_elapsed
adult,random_forest,20_80,42,0.9022317772317772,0.8602569282960211,0.8593949941137329,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",
adult,random_forest,20_80,123,0.8724406224406225,0.8595414450434756,0.8568101550903414,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",
adult,random_forest,20_80,456,0.9045864045864046,0.8630215383938105,0.8606746173926396,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",
adult,random_forest,50_50,42,0.9346464108758856,0.8629048039385807,0.8605708201957332,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",
adult,random_forest,50_50,123,0.9083166127513206,0.8644610899165659,0.8606527169239588,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",
adult,random_forest,50_50,456,0.8943122722247246,0.8613898619937513,0.86454281151468,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",
adult,random_forest,80_20,42,0.8897448365879251,0.8625136961547273,0.8673354488688709,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",
adult,random_forest,80_20,123,0.889847209070202,0.8630511405533745,0.8630361347118436,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",
adult,random_forest,80_20,456,0.8887467048857267,0.8634605603964601,0.8681543658511618,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",
adult,svm,20_80,42,0.8023333333333333,0.802,0.7990735527460715,"{""C"": 0.1}",0.4694850444793701
adult,svm,20_80,123,0.8053333333333333,0.8079999999999999,0.8001484363003531,"{""C"": 10}",0.552448034286499
adult,svm,20_80,456,0.8056666666666666,0.8033333333333333,0.8010185801300097,"{""C"": 1}",0.4640049934387207
adult,svm,50_50,42,0.7956666666666666,0.7963333333333334,0.8014413824167724,"{""C"": 1}",0.4893360137939453
adult,svm,50_50,123,0.7906666666666666,0.7913333333333333,0.7951762827075058,"{""C"": 0.1}",0.4841928482055664
adult,svm,50_50,456,0.802,0.8006666666666667,0.7985749969288727,"{""C"": 10}",0.4860348701477051
adult,svm,80_20,42,0.799,0.798,0.7962944006551336,"{""C"": 0.1}",0.4733400344848633
adult,svm,80_20,123,0.7966666666666666,0.7946666666666667,0.7964991299007064,"{""C"": 0.1}",0.49303197860717773
adult,svm,80_20,456,0.7936666666666666,0.793,0.7998771624526564,"{""C"": 1}",0.4700002670288086
adult,knn,20_80,42,0.8051801801801802,0.7920764894152816,0.7935455801811947,"{""n_neighbors"": 11, ""weights"": ""uniform""}",2.8021128177642822
adult,knn,20_80,123,0.8081490581490581,0.7928950081259654,0.792291549367866,"{""n_neighbors"": 11, ""weights"": ""uniform""}",1.6133649349212646
adult,knn,20_80,456,0.8058968058968059,0.7911537298468985,0.7911398884168501,"{""n_neighbors"": 11, ""weights"": ""uniform""}",1.5662262439727783
adult,knn,50_50,42,0.8104909708857131,0.793374744428992,0.7947667990663773,"{""n_neighbors"": 11, ""weights"": ""uniform""}",5.05539608001709
adult,knn,50_50,123,0.8115556283526473,0.7955039286052592,0.7959952499897629,"{""n_neighbors"": 11, ""weights"": ""uniform""}",5.104383945465088
adult,knn,50_50,456,0.8101633839728103,0.7949306531803974,0.7928012775889604,"{""n_neighbors"": 11, ""weights"": ""uniform""}",4.903194904327393
adult,knn,80_20,42,0.8141427584265349,0.7940521638655358,0.7983416931108609,"{""n_neighbors"": 11, ""weights"": ""uniform""}",11.681020021438599
adult,knn,80_20,123,0.8119673431781537,0.793693698385086,0.7963967652779199,"{""n_neighbors"": 11, ""weights"": ""uniform""}",11.831162214279175
adult,knn,80_20,456,0.8132214060860441,0.7929259375162221,0.7963967652779199,"{""n_neighbors"": 11, ""weights"": ""uniform""}",12.665950775146484
