dataset,classifier,partition_ratio,mean_test_acc,std_test_acc,n_trials
adult,knn,20_80,0.7923256726553035,0.0012032088411069747,3
adult,knn,50_50,0.7945211088817001,0.001611098282044644,3
adult,knn,80_20,0.7970450745555668,0.0011229046079028217,3
adult,random_forest,20_80,0.8589599221989047,0.001968624621347386,3
adult,random_forest,50_50,0.8619221162114573,0.0022699580773163424,3
adult,random_forest,80_20,0.8661753164772921,0.002749273153647063,3
adult,svm,20_80,0.800080189725478,0.0009743079991994041,3
adult,svm,50_50,0.798397554017717,0.003136316801887626,3
adult,svm,80_20,0.7975568976694988,0.0020120139199243147,3
mushroom,knn,20_80,0.9994358974358973,0.0005402899360437868,3
mushroom,knn,50_50,1.0,0.0,3
mushroom,knn,80_20,1.0,0.0,3
mushroom,random_forest,20_80,0.9992307692307693,0.0006705998374678009,3
mushroom,random_forest,50_50,1.0,0.0,3
mushroom,random_forest,80_20,1.0,0.0,3
mushroom,svm,20_80,0.9995897435897435,0.0007105849466948753,3
mushroom,svm,50_50,0.9996717544723452,0.0005685379312551837,3
mushroom,svm,80_20,1.0,0.0,3
spambase,knn,20_80,0.8920583174861904,0.008783378178380616,3
spambase,knn,50_50,0.9123569462552513,0.0024712041299771855,3
spambase,knn,80_20,0.9178429243575823,0.008221365683387997,3
spambase,random_forest,20_80,0.9376075341845512,0.0024650289937183083,3
spambase,random_forest,50_50,0.9459655222367087,0.0033192638671271876,3
spambase,random_forest,80_20,0.9493304379297864,0.0033171014802430994,3
spambase,svm,20_80,0.9178665217785023,0.0030895086677952903,3
spambase,svm,50_50,0.9251050267999421,0.007171892681145281,3
spambase,svm,80_20,0.9305103148751356,0.007600434310532034,3
